target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C3284,1,,,,Oc1cc2c(cc1Br)OCO2,OB(O)c1ccn[nH]1,Oc1cc2c(cc1-c1ccn[nH]1)OCO2,Sp2-sp2_Suzuki_coupling,,,,,,,,
C26522,1,,,,NCc1cccs1,Cn1cc(C(=O)O)c2ccc(Cl)cc21,Cn1cc(C(=O)NCc2cccs2)c2ccc(Cl)cc21,Amidation,,,,,,,,
C3624,1,,,,Nc1cc(O)ccc1Br,COCC(N)=O,COCC(=O)Nc1ccc(O)cc1N,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,,,,,
C3625,1,,,,Cc1cccc(O)c1I,Nc1ccc(O)cc1,Cc1cccc(O)c1Nc1ccc(O)cc1,Buchwald-Hartwig_amination,,,,,,,,
C31642,1,,,,O=c1[nH]ccc(Br)c1Cl,ClCc1noc(C2CC2)n1,O=c1c(Cl)c(Br)ccn1Cc1noc(C2CC2)n1,Nucleophilic_substitution_with_amine,,,,,,,,
C3628,1,,,,Nc1ccc(O)cc1,Oc1cnccc1Br,Oc1ccc(Nc2ccncc2O)cc1,Buchwald-Hartwig_amination,,,,,,,,
C31643,1,,,,Cc1c(Br)cc[nH]c1=O,ClCc1noc(C2CC2)n1,Cc1c(Br)ccn(Cc2noc(C3CC3)n2)c1=O,Nucleophilic_substitution_with_amine,,,,,,,,
C31654,1,,,,O=c1cc(Br)cc[nH]1,CCCCc1nc(CCl)no1,CCCCc1nc(Cn2ccc(Br)cc2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31658,1,,,,O=c1cc(Br)cc[nH]1,CC(C)Cc1nc(CCl)no1,CC(C)Cc1nc(Cn2ccc(Br)cc2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C79873,1,,,,CC1(B2OC(C)(C)C(C)(C)O2)CCOC1,Cn1c(O)nc2c(Br)cccc21,Cn1c(O)nc2c(C3(C)CCOC3)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C79874,1,,,,CC1(C)OB(C2(CCO)CC2)OC1(C)C,Cn1c(O)nc2c(Br)cccc21,Cn1c(O)nc2c(C3(CCO)CC3)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C89921,1,,,,CC(C)(C)OC(=O)c1cn[nH]c1,CCCNC(=O)c1cccc(=O)n1O,CCCN(C(=O)c1cn[nH]c1)C(=O)c1cccc(=O)n1O,Ester_amidation,,,,,,,,
C31695,1,,,,Cc1c(Br)cc[nH]c1=O,CC(C)Cc1nc(CCl)no1,Cc1c(Br)ccn(Cc2noc(CC(C)C)n2)c1=O,Nucleophilic_substitution_with_amine,,,,,,,,
C71736,1,,,,COc1ccc(N)cc1Cl,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,COc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1Cl,Amidation,,,,,,,,
C87967,1,,,,Nc1cc(F)c(Cl)cc1N,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1cc(Cl)c(F)cc1N,Ester_amidation,,,,,,,,
C87966,1,,,,Nc1cc(F)c(Cl)cc1N,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1cc(F)c(Cl)cc1N,Ester_amidation,,,,,,,,
C12658,1,,,,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,Nc1ccc(F)c([N+](=O)[O-])c1,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(F)c([N+](=O)[O-])c2)c(Cl)c1,Amidation,,,,,,,,
C71741,1,,,,Nc1cc(F)c(O)cc1Cl,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cn1c(=O)[nH]c2cc(C(=O)Nc3cc(F)c(O)cc3Cl)cc(Cl)c21,Amidation,,,,,,,,
C12660,1,,,,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,Nc1cccc(F)c1[N+](=O)[O-],NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(F)c2[N+](=O)[O-])c(Cl)c1,Amidation,,,,,,,,
C31711,1,,,,O=c1[nH]ccc(Br)c1Cl,CC(C)Cc1nc(CCl)no1,CC(C)Cc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31712,1,,,,Nc1c(Br)cc[nH]c1=O,CC(C)Cc1nc(CCl)no1,CC(C)Cc1nc(Cn2ccc(Br)c(N)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C87987,1,,,,Nc1cccc2nsnc12,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1cccc2c1N=S=N2,Ester_amidation,,,,,,,,
C87988,1,,,,Nc1cc(F)c(F)cc1N,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1cc(F)c(F)cc1N,Ester_amidation,,,,,,,,
C73789,1,,,,Nc1ccc(O)cc1[N+](=O)[O-],COc1ccc(N)cc1C(=O)OC(C)(C)C,COc1ccc(N)cc1C(=O)Nc1ccc(O)cc1[N+](=O)[O-],Ester_amidation,,,,,,,,
C88002,1,,,,Cc1ccc(N)c(N)c1Cl,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1ccc(C)c(Cl)c1N,Ester_amidation,,,,,,,,
C88003,1,,,,Cc1ccc(N)c(N)c1Cl,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1c(N)ccc(C)c1Cl,Ester_amidation,,,,,,,,
C73792,1,,,,N#Cc1c(O)ccc(N)c1F,COc1ccc(N)cc1C(=O)OC(C)(C)C,COc1ccc(N)cc1C(=O)Nc1ccc(O)c(C#N)c1F,Ester_amidation,,,,,,,,
C73794,1,,,,COc1c(I)cc(N)cc1I,COc1ccc(N)cc1C(=O)OC(C)(C)C,COc1ccc(N)cc1C(=O)Nc1cc(I)c(OC)c(I)c1,Ester_amidation,,,,,,,,
C88009,1,,,,Nc1ccc(Br)c(F)c1N,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1c(N)ccc(Br)c1F,Ester_amidation,,,,,,,,
C88011,1,,,,Nc1ccc(Br)c(F)c1N,C#CCCOCC(=O)OC(C)(C)C,C#CCCOCC(=O)Nc1ccc(Br)c(F)c1N,Ester_amidation,,,,,,,,
C37350,1,,,,COc1ccc(Br)c(N=[N+]=[N-])c1,CC(OCc1ccccc1)C(N)=O,COc1ccc(NC(=O)C(C)OCc2ccccc2)c(N=[N+]=[N-])c1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,,,,,
C29052,1,,,,O=S1(=O)CCC(CCl)C1,O=c1cc(CCl)[nH]c(=O)[nH]1,O=c1cc(CCl)[nH]c(=O)n1CC1CCS(=O)(=O)C1,Nucleophilic_substitution_with_amine,,,,,,,,
C29053,1,,,,O=S1(=O)CCC(CCl)C1,O=c1cc(CCl)[nH]c(=O)[nH]1,O=c1cc(CCl)n(CC2CCS(=O)(=O)C2)c(=O)[nH]1,Nucleophilic_substitution_with_amine,,,,,,,,
C31766,1,,,,Nc1c(Br)cc[nH]c1=O,CCCCc1nc(CCl)no1,CCCCc1nc(Cn2ccc(Br)c(N)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31775,1,,,,Cc1c(Br)cc[nH]c1=O,CCCCc1nc(CCl)no1,CCCCc1nc(Cn2ccc(Br)c(C)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31777,1,,,,O=c1[nH]ccc(Br)c1Cl,CCCCc1nc(CCl)no1,CCCCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C59812,1,,,,Cc1ccsc1C1CCCCCN1,Cn1c(N)nc2cc(C(=O)O)cc(Br)c21,Cc1ccsc1C1CCCCCN1c1cc(C(=O)O)cc2nc(N)n(C)c12,Buchwald-Hartwig_amination,,,,,,,,
C71830,1,,,,Nc1ccc([N+](=O)[O-])cc1,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc([N+](=O)[O-])cc3)cc(Cl)c21,Amidation,,,,,,,,
C9915,1,,,,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,Nc1ccc(O)cc1Cl,NC(=O)c1cc(Cl)c(C(=O)Nc2ccc(O)cc2Cl)c(Cl)c1,Amidation,,,,,,,,
C53479,1,,,,Brc1cnc2ccccc2n1,CC1(C)OB(C2(C3CC3)CCOCC2)OC1(C)C,c1ccc2nc(C3(C4CC4)CCOCC3)cnc2c1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C71887,1,,,,Nc1c(F)cc(Cl)cc1F,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cn1c(=O)[nH]c2cc(C(=O)Nc3c(F)cc(Cl)cc3F)cc(Cl)c21,Amidation,,,,,,,,
C12827,1,,,,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,Nc1cc(F)c(F)cc1C(=O)O,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(F)c(F)cc2C(=O)O)c(Cl)c1,Amidation,,,,,,,,
C84125,1,,,,Nc1cc(F)ccc1O,COc1cc(C=O)c(I)c(OC)c1,COc1cc(C=O)c(Nc2cc(F)ccc2O)c(OC)c1,Buchwald-Hartwig_amination,,,,,,,,
C10023,1,,,,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,Nc1cccc(Br)c1S,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(Br)c2S)c(Cl)c1,Amidation,,,,,,,,
C78136,1,,,,Cc1nc(Cl)c(N)c(C)c1C,O=C(O)Cc1cccc(OC(F)F)n1,Cc1nc(Cl)c(NC(=O)Cc2cccc(OC(F)F)n2)c(C)c1C,Amidation,,,,,,,,
C18430,1,,,,COc1ccc(N)cc1F,COc1ccc2c(c1I)CCC2,COc1ccc(Nc2c(OC)ccc3c2CCC3)cc1F,Buchwald-Hartwig_amination,,,,,,,,
C78140,1,,,,Nc1cnc(Br)cc1C(=O)O,O=C(O)Cc1cccc(OC(F)F)n1,O=C(Cc1cccc(OC(F)F)n1)Nc1cnc(Br)cc1C(=O)O,Amidation,,,,,,,,
C10036,1,,,,Nc1cc(O)ccc1Br,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(O)ccc2Br)c(Cl)c1,Amidation,,,,,,,,
C26786,1,,,,CCNC(C)C,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CCN(C(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12)C(C)C,Amidation,,,,,,,,
C26794,1,,,,Cn1cc(C(=O)O)c2ccc(Cl)cc21,CC1NCCNC1=O,CC1C(=O)NCCN1C(=O)c1cn(C)c2cc(Cl)ccc12,Amidation,,,,,,,,
C31955,1,,,,O=c1cc(Br)cc[nH]1,CC1(c2nc(CCl)no2)CCCC1,CC1(c2nc(Cn3ccc(Br)cc3=O)no2)CCCC1,Nucleophilic_substitution_with_amine,,,,,,,,
C26815,1,,,,CCCNCC,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CCCN(CC)C(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12,Amidation,,,,,,,,
C32007,1,,,,Nc1c(Br)cc[nH]c1=O,CC1(c2nc(CCl)no2)CCCC1,CC1(c2nc(Cn3ccc(Br)c(N)c3=O)no2)CCCC1,Nucleophilic_substitution_with_amine,,,,,,,,
C32028,1,,,,Cc1c(Br)cc[nH]c1=O,CC1(c2nc(CCl)no2)CCCC1,Cc1c(Br)ccn(Cc2noc(C3(C)CCCC3)n2)c1=O,Nucleophilic_substitution_with_amine,,,,,,,,
C26892,1,,,,CNCCCO,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CN(CCCO)C(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12,Amidation,,,,,,,,
C62996,1,,,,CC1CNCCN1,O=C(O)c1cc(F)cc(Cl)c1,CC1CNCCN1C(=O)c1cc(F)cc(Cl)c1,Amidation,,,,,,,,
C63041,1,,,,CC1CNCCN1,Cc1ccc(C(=O)O)cc1F,Cc1ccc(C(=O)N2CCNCC2C)cc1F,Amidation,,,,,,,,
C78291,1,,,,Cc1nc(Cl)c(N)c(C)c1C,COc1cccc(C(F)(F)C(=O)O)n1,COc1cccc(C(F)(F)C(=O)Nc2c(Cl)nc(C)c(C)c2C)n1,Amidation,,,,,,,,
C63063,1,,,,O=C(O)c1cccc(F)c1,CC1NCCNC1C,CC1NCCN(C(=O)c2cccc(F)c2)C1C,Amidation,,,,,,,,
C26939,1,,,,NCCC(Cl)Cl,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,Cn1c(Cl)c(C(=O)NCCC(Cl)Cl)c2cc(Cl)c(Cl)cc21,Amidation,,,,,,,,
C63088,1,,,,CC1CNCCN1,Cc1ccc(F)cc1C(=O)O,Cc1ccc(F)cc1C(=O)N1CCNCC1C,Amidation,,,,,,,,
C63089,1,,,,O=C(O)c1cccc(F)c1,CC1NCCNC1=O,CC1C(=O)NCCN1C(=O)c1cccc(F)c1,Amidation,,,,,,,,
C53737,1,,,,Cc1nc2ccccc2nc1Br,CC1(C)OB(C2(C3CC3)CCOCC2)OC1(C)C,Cc1nc2ccccc2nc1C1(C2CC2)CCOCC1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C26948,1,,,,CN(N)C(N)=O,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CN(NC(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12)C(N)=O,Amidation,,,,,,,,
C78314,1,,,,Nc1cnc(Br)cc1C(=O)O,COc1cccc(C(F)(F)C(=O)O)n1,COc1cccc(C(F)(F)C(=O)Nc2cnc(Br)cc2C(=O)O)n1,Amidation,,,,,,,,
C88343,1,,,,Nc1ccc(Br)c(F)c1N,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1ccc(Br)c(F)c1N,Ester_amidation,,,,,,,,
C88344,1,,,,Nc1ccc(Br)c(F)c1N,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1c(N)ccc(Br)c1F,Ester_amidation,,,,,,,,
C82310,1,,,,Nc1cccc(O)c1Cl,COc1cc(Br)cc(C)c1I,COc1cc(Br)cc(C)c1Nc1cccc(O)c1Cl,Buchwald-Hartwig_amination,,,,,,,,
C82311,1,,,,Nc1cccc(O)c1Cl,COc1cc(Br)cc(C)c1I,COc1cc(Nc2cccc(O)c2Cl)cc(C)c1I,Buchwald-Hartwig_amination,,,,,,,,
C63177,1,,,,CC1CNCCN1,Nc1cc(F)c(F)cc1C(=O)O,CC1CNCCN1C(=O)c1cc(F)c(F)cc1N,Amidation,,,,,,,,
C29774,1,,,,O=S1(=O)CCC(CCl)C1,CCc1[nH]c(=O)[nH]c(=O)c1N,CCc1c(N)c(=O)[nH]c(=O)n1CC1CCS(=O)(=O)C1,Nucleophilic_substitution_with_amine,,,,,,,,
C29780,1,,,,O=S1(=O)CCC(CCl)C1,CCc1[nH]c(=O)[nH]c(=O)c1N,CCc1[nH]c(=O)n(CC2CCS(=O)(=O)C2)c(=O)c1N,Nucleophilic_substitution_with_amine,,,,,,,,
C53815,1,,,,CC1(B2OC(C)(C)C(C)(C)O2)CCOC1,FC(F)(F)c1ccc2nc(Br)cnc2c1,CC1(c2cnc3cc(C(F)(F)F)ccc3n2)CCOC1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C53816,1,,,,CC1(C)OB(C2(CCO)CC2)OC1(C)C,FC(F)(F)c1ccc2nc(Br)cnc2c1,OCCC1(c2cnc3cc(C(F)(F)F)ccc3n2)CC1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C53820,1,,,,CC1(B2OC(C)(C)C(C)(C)O2)CCOC1,FC(F)(F)c1ccc2ncc(Br)nc2c1,CC1(c2cnc3ccc(C(F)(F)F)cc3n2)CCOC1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C88378,1,,,,Cc1ccc(N)c(N)c1Cl,CCOC(=O)C(=O)OC(C)(C)C,Cc1ccc(N)c(NC(=O)C(=O)OC(C)(C)C)c1Cl,Ester_amidation,,,,,,,,
C63238,1,,,,CC1CNCCN1,COc1ccc(F)cc1C(=O)O,COc1ccc(F)cc1C(=O)N1CCNCC1C,Amidation,,,,,,,,
C88380,1,,,,Nc1cc(F)c(Cl)cc1N,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1cc(Cl)c(F)cc1N,Ester_amidation,,,,,,,,
C53837,1,,,,CC1(C)OB(C2(CCO)CC2)OC1(C)C,FC(F)(F)c1ccc2ncc(Br)nc2c1,OCCC1(c2cnc3ccc(C(F)(F)F)cc3n2)CC1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C88382,1,,,,Nc1cc(F)c(Cl)cc1N,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1cc(F)c(Cl)cc1N,Ester_amidation,,,,,,,,
C63250,1,,,,CC1CNCCN1,COc1ccc(F)cc1C(=O)O,COc1ccc(F)cc1C(=O)N1CCNC(C)C1,Amidation,,,,,,,,
C40371,1,,,,Nc1cc(Br)cc2c1OCO2,Cn1ncc(Cl)c1B1OC(C)(C)C(C)(C)O1,Cn1ncc(Cl)c1-c1cc(N)c2c(c1)OCO2,Sp2-sp2_Suzuki_coupling,,,,,,,,
C27081,1,,,,Cn1cc(C(=O)O)c2ccc(Cl)cc21,CC(C)CNCC(=O)O,CC(C)CN(CC(=O)O)C(=O)c1cn(C)c2cc(Cl)ccc12,Amidation,,,,,,,,
C27123,1,,,,NCc1cccs1,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,Cn1c(Cl)c(C(=O)NCc2cccs2)c2cc(Cl)c(Cl)cc21,Amidation,,,,,,,,
C72297,1,,,,Cc1cc(Cl)c(N)cc1N,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cc1cc(Cl)c(N)cc1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,Amidation,,,,,,,,
C16778,1,,,,Cc1cccc(O)c1I,COc1ccc(N)cc1F,COc1ccc(Nc2c(C)cccc2O)cc1F,Buchwald-Hartwig_amination,,,,,,,,
C16781,1,,,,Cc1cccc(O)c1I,COc1ccc(N)cc1Cl,COc1ccc(Nc2c(C)cccc2O)cc1Cl,Buchwald-Hartwig_amination,,,,,,,,
C40492,1,,,,Nc1cc(Br)cc2c1OCO2,CC1(C)OB(c2ccn(CC(F)F)n2)OC1(C)C,Nc1cc(-c2ccn(CC(F)F)n2)cc2c1OCO2,Sp2-sp2_Suzuki_coupling,,,,,,,,
C88434,1,,,,Nc1cccc2nsnc12,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1cccc2c1N=S=N2,Ester_amidation,,,,,,,,
C88452,1,,,,Nc1cc(Cl)cc(Br)c1N,CC(C)(C)OC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1cc(Cl)cc(Br)c1N,Ester_amidation,,,,,,,,
C30095,1,,,,O=S1(=O)CCC(CCl)C1,Cn1ncc2nc(Cl)[nH]c(=O)c21,Cn1ncc2nc(Cl)n(CC3CCS(=O)(=O)C3)c(=O)c21,Nucleophilic_substitution_with_amine,,,,,,,,
C63411,1,,,,CC1NCCNC1=O,O=C(O)c1cc(F)cc(Cl)c1,CC1C(=O)NCCN1C(=O)c1cc(F)cc(Cl)c1,Amidation,,,,,,,,
C63415,1,,,,O=C(O)c1cc(F)cc(Cl)c1,CC1NCCNC1C,CC1NCCN(C(=O)c2cc(F)cc(Cl)c2)C1C,Amidation,,,,,,,,
C27198,1,,,,CC1NCCNC1=O,Cn1c(Cl)c(C(=O)O)c2cc(Cl)c(Cl)cc21,CC1C(=O)NCCN1C(=O)c1c(Cl)n(C)c2cc(Cl)c(Cl)cc12,Amidation,,,,,,,,
C78578,1,,,,Cn1cnc2c(Br)cccc21,OB(O)C1CC1,Cn1cnc2c(C3CC3)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C38150,1,,,,Cc1ccnc(CO)c1N,O=C(O)C1CCc2ccc(=O)[nH]c21,Cc1ccnc(CO)c1NC(=O)C1CCc2ccc(=O)[nH]c21,Amidation,,,,,,,,
C72376,1,,,,Cc1cc(Cl)c(N)cc1N,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cc1cc(Cl)c(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1N,Amidation,,,,,,,,
C78580,1,,,,CC(C)B(O)O,Cn1cnc2c(Br)cccc21,CC(C)c1cccc2c1ncn2C,Sp3-sp2_Suzuki_coupling,,,,,,,,
C82536,1,,,,Nc1cccc(F)c1Cl,COc1cc(Br)cc(C)c1I,COc1cc(Br)cc(C)c1Nc1cccc(F)c1Cl,Buchwald-Hartwig_amination,,,,,,,,
C78604,1,,,,CC1(C)OB(C23CC2C3)OC1(C)C,Cn1cnc2c(Br)cccc21,Cn1cnc2c(C34CC3C4)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C78608,1,,,,Cn1cnc2c(Br)cccc21,CC1(C)OB(C2COC2)OC1(C)C,Cn1cnc2c(C3COC3)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C78624,1,,,,CC(C)B(O)O,Cn1c(O)nc2c(Br)cccc21,CC(C)c1cccc2c1nc(O)n2C,Sp3-sp2_Suzuki_coupling,,,,,,,,
C88504,1,,,,Nc1cc(F)c(F)cc1N,CCOC(=O)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)C(=O)Nc1cc(F)c(F)cc1N,Ester_amidation,,,,,,,,
C78625,1,,,,OB(O)C1CC1,Cn1c(O)nc2c(Br)cccc21,Cn1c(O)nc2c(C3CC3)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C78628,1,,,,CC(C)(C)B1OC(C)(C)C(C)(C)O1,Cn1cnc2c(Br)cccc21,Cn1cnc2c(C(C)(C)C)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C78632,1,,,,OB(O)C1CC1,Cn1c(Cl)nc2c(Br)cccc21,Cn1c(C2CC2)nc2c(Br)cccc21,Sp3-sp2_Suzuki_coupling,,,,,,,,
C78633,1,,,,CC(C)B(O)O,Cn1c(Cl)nc2c(Br)cccc21,CC(C)c1cccc2c1nc(Cl)n2C,Sp3-sp2_Suzuki_coupling,,,,,,,,
